time,yaw,pitch,roll
2020-12-06 22:41:46.9430,109.49,-3.21,7.88
2020-12-06 22:41:47.0420,109.09,-4.26,7.19
2020-12-06 22:41:47.1430,108.62,-4.48,7.0
2020-12-06 22:41:47.2420,108.78,-4.92,6.47
2020-12-06 22:41:47.3430,108.58,-4.16,6.3
2020-12-06 22:41:47.4410,108.7,-3.07,6.48
2020-12-06 22:41:47.5410,109.07,-2.14,6.75
2020-12-06 22:41:47.6410,109.65,-1.86,6.47
2020-12-06 22:41:47.7410,110.08,-0.91,6.31
2020-12-06 22:41:47.8410,110.4,-0.16,6.35
2020-12-06 22:41:47.9400,110.57,-0.3,6.34
2020-12-06 22:41:48.0390,110.81,-0.83,5.44
2020-12-06 22:41:48.1390,110.6,-1.57,4.3
2020-12-06 22:41:48.2380,110.05,-2.56,4.03
2020-12-06 22:41:48.3370,109.11,-3.88,3.81
2020-12-06 22:41:48.4320,108.77,-4.31,3.44
2020-12-06 22:41:48.5320,108.7,-4.55,3.46
2020-12-06 22:41:48.6310,108.62,-4.19,3.28
2020-12-06 22:41:48.7270,108.46,-4.7,2.72
2020-12-06 22:41:48.8310,108.51,-4.78,1.98
2020-12-06 22:41:48.9300,108.02,-5.25,1.71
2020-12-06 22:41:49.0390,108.02,-5.21,1.87
2020-12-06 22:41:49.1390,107.9,-5.29,1.9
2020-12-06 22:41:49.2390,108.1,-5.14,2.13
2020-12-06 22:41:49.3380,108.41,-5.17,2.68
2020-12-06 22:41:49.4380,109.01,-3.34,3.31
2020-12-06 22:41:49.5380,109.25,-2.97,4.14
2020-12-06 22:41:49.6380,109.27,-3.36,5.15
2020-12-06 22:41:49.7360,108.88,-3.73,4.57
2020-12-06 22:41:49.8360,108.76,-3.78,5.01
2020-12-06 22:41:49.9370,108.59,-4.28,5.45
2020-12-06 22:41:50.0350,107.78,-4.65,5.61
2020-12-06 22:41:50.1370,107.22,-4.43,6.1
2020-12-06 22:41:50.2360,106.87,-4.41,6.12
2020-12-06 22:41:50.3360,107.34,-2.9,7.02
2020-12-06 22:41:50.4330,108.07,-1.97,7.01
2020-12-06 22:41:50.5320,108.49,-1.29,6.75
2020-12-06 22:41:50.6350,108.5,-1.37,6.34
2020-12-06 22:41:50.7330,108.27,-1.87,5.64
2020-12-06 22:41:50.8340,107.85,-2.34,5.65
2020-12-06 22:41:50.9340,107.41,-2.73,5.73
2020-12-06 22:41:51.0330,107.65,-2.62,5.94
2020-12-06 22:41:51.1330,107.96,-2.18,5.93
2020-12-06 22:41:51.2340,108.48,-1.83,5.51
2020-12-06 22:41:51.3330,108.94,-1.25,5.22
2020-12-06 22:41:51.4320,109.03,-1.47,4.63
2020-12-06 22:41:51.5330,108.86,-2.23,4.36
2020-12-06 22:41:51.6320,108.97,-2.89,3.74
2020-12-06 22:41:51.7320,108.95,-3.33,3.53
2020-12-06 22:41:51.8320,108.95,-3.49,3.31
2020-12-06 22:41:51.9320,108.99,-3.47,3.1
2020-12-06 22:41:52.0320,108.89,-3.74,2.99
2020-12-06 22:41:52.1320,108.92,-3.34,2.73
2020-12-06 22:41:52.2310,109.08,-2.6,2.56
2020-12-06 22:41:52.3310,108.79,-2.88,2.15
2020-12-06 22:41:52.4200,108.79,-2.8,1.8
2020-12-06 22:41:52.5230,108.13,-3.69,1.48
2020-12-06 22:41:52.6230,107.16,-4.57,1.68
2020-12-06 22:41:52.7190,107.18,-3.82,1.72
2020-12-06 22:41:52.8220,107.14,-3.74,2.19
2020-12-06 22:41:52.9230,107.81,-2.67,3.0
2020-12-06 22:41:53.0260,108.75,-2.19,3.81
2020-12-06 22:41:53.1260,109.98,-1.1,3.84
2020-12-06 22:41:53.2260,110.29,-1.37,3.42
2020-12-06 22:41:53.3260,110.56,-1.0,2.35
2020-12-06 22:41:53.4250,110.09,-2.43,2.0
2020-12-06 22:41:53.5250,110.11,-2.52,1.42
2020-12-06 22:41:53.6250,109.82,-3.32,0.44
2020-12-06 22:41:53.7250,108.76,-4.82,0.68
2020-12-06 22:41:53.8240,108.6,-4.5,0.7
2020-12-06 22:41:53.9230,108.6,-5.34,0.63
2020-12-06 22:41:54.0240,108.78,-4.25,1.01
2020-12-06 22:41:54.1240,109.53,-2.79,1.08
2020-12-06 22:41:54.2230,109.48,-2.06,1.73
2020-12-06 22:41:54.3230,109.54,-1.63,2.03
2020-12-06 22:41:54.4230,109.45,-1.28,2.33
2020-12-06 22:41:54.5220,109.45,-1.24,2.5
2020-12-06 22:41:54.6210,109.1,-1.81,2.79
2020-12-06 22:41:54.7210,109.09,-2.38,2.82
2020-12-06 22:41:54.8210,109.02,-2.92,2.69
2020-12-06 22:41:54.9210,108.81,-3.19,2.92
2020-12-06 22:41:55.0210,108.23,-4.19,3.3
2020-12-06 22:41:55.1220,108.11,-3.89,3.47
2020-12-06 22:41:55.2210,108.18,-3.9,3.72
2020-12-06 22:41:55.3210,108.45,-2.68,3.86
2020-12-06 22:41:55.4200,108.5,-2.12,4.01
2020-12-06 22:41:55.5200,108.46,-1.53,4.06
2020-12-06 22:41:55.6190,108.84,0.12,4.23
2020-12-06 22:41:55.7200,109.49,2.07,4.67
2020-12-06 22:41:55.8200,109.27,2.2,4.78
2020-12-06 22:41:55.9180,108.8,1.78,4.72
2020-12-06 22:41:56.0190,107.98,0.71,4.96
2020-12-06 22:41:56.1190,107.02,-0.55,5.12
2020-12-06 22:41:56.2190,106.51,-0.99,5.78
2020-12-06 22:41:56.3190,106.56,-0.77,5.99
2020-12-06 22:41:56.4120,106.02,-1.5,6.18
2020-12-06 22:41:56.5120,105.99,-2.55,5.36
2020-12-06 22:41:56.6140,106.41,-3.63,3.9
2020-12-06 22:41:56.7110,106.92,-3.86,3.38
2020-12-06 22:41:56.8120,106.98,-4.43,3.27
2020-12-06 22:41:56.9120,106.99,-4.81,3.55
2020-12-06 22:41:57.0220,106.65,-5.17,4.2
2020-12-06 22:41:57.1210,106.65,-5.36,4.38
2020-12-06 22:41:57.2210,106.77,-5.39,3.67
2020-12-06 22:41:57.3210,106.8,-6.1,3.08
2020-12-06 22:41:57.4210,106.99,-6.64,1.94
2020-12-06 22:41:57.5220,107.2,-6.43,0.74
2020-12-06 22:41:57.6210,107.47,-7.03,0.17
2020-12-06 22:41:57.7200,106.97,-8.77,-0.73
2020-12-06 22:41:57.8190,106.94,-9.5,-0.94
2020-12-06 22:41:57.9200,106.58,-10.42,-1.82
2020-12-06 22:41:58.0190,106.34,-9.9,-2.03
2020-12-06 22:41:58.1180,106.26,-9.07,-1.98
2020-12-06 22:41:58.2180,106.29,-7.16,-1.24
2020-12-06 22:41:58.3190,106.63,-4.31,-0.86
2020-12-06 22:41:58.4180,107.72,-0.73,-0.39
2020-12-06 22:41:58.5180,108.89,2.27,0.76
2020-12-06 22:41:58.6180,109.05,1.46,0.52
2020-12-06 22:41:58.7180,108.42,-1.74,-3.08
2020-12-06 22:41:58.8170,107.11,-6.28,-4.33
2020-12-06 22:41:58.9180,106.53,-8.77,-7.35
2020-12-06 22:41:59.0180,105.68,-11.21,-7.97
2020-12-06 22:41:59.1180,103.96,-12.71,-9.24
2020-12-06 22:41:59.2170,103.68,-11.46,-8.51
2020-12-06 22:41:59.3170,103.86,-8.81,-7.18
2020-12-06 22:41:59.4170,104.91,-5.53,-7.22
2020-12-06 22:41:59.5160,105.22,-3.65,-6.92
2020-12-06 22:41:59.6160,105.01,-3.28,-6.14
2020-12-06 22:41:59.7160,104.24,-2.78,-5.24
2020-12-06 22:41:59.8150,104.8,-1.17,-4.26
2020-12-06 22:41:59.9150,105.18,-0.38,-4.4
2020-12-06 22:42:00.0140,105.03,0.8,-3.29
2020-12-06 22:42:00.1150,105.35,1.07,-2.9
2020-12-06 22:42:00.2140,106.12,2.24,-2.21
2020-12-06 22:42:00.3140,106.9,4.14,-2.47
2020-12-06 22:42:00.4160,107.49,6.89,-2.24
2020-12-06 22:42:00.5040,107.0,9.32,-0.79
2020-12-06 22:42:00.6050,106.33,11.29,1.15
2020-12-06 22:42:00.7060,105.76,12.15,1.79
2020-12-06 22:42:00.8020,105.48,13.33,2.67
2020-12-06 22:42:00.9030,105.23,14.38,3.6
2020-12-06 22:42:01.0040,105.54,15.25,3.4
2020-12-06 22:42:01.1020,104.75,14.16,3.16
2020-12-06 22:42:01.2030,104.4,13.19,2.59
2020-12-06 22:42:01.3030,104.01,10.52,1.13
2020-12-06 22:42:01.4030,103.71,7.56,-0.98
2020-12-06 22:42:01.5030,103.2,3.95,-2.36
2020-12-06 22:42:01.6010,103.28,1.87,-3.41
2020-12-06 22:42:01.7020,103.36,-1.14,-5.51
2020-12-06 22:42:01.8010,103.15,-3.38,-6.8
2020-12-06 22:42:01.9020,103.74,-5.56,-8.43
2020-12-06 22:42:02.0010,103.62,-7.98,-10.42
2020-12-06 22:42:02.1010,102.15,-11.06,-12.25
2020-12-06 22:42:02.2010,101.22,-13.7,-13.33
2020-12-06 22:42:02.3010,101.1,-13.88,-13.64
2020-12-06 22:42:02.3980,102.35,-11.31,-12.03
2020-12-06 22:42:02.5010,102.37,-11.39,-14.35
2020-12-06 22:42:02.6020,102.51,-12.73,-14.86
2020-12-06 22:42:02.7000,102.5,-13.46,-16.61
2020-12-06 22:42:02.8000,101.38,-15.16,-17.72
2020-12-06 22:42:02.9000,100.69,-16.47,-17.98
2020-12-06 22:42:02.9990,99.96,-18.11,-18.28
2020-12-06 22:42:03.0980,99.35,-19.74,-18.61
2020-12-06 22:42:03.1990,98.21,-20.42,-19.32
2020-12-06 22:42:03.2990,98.0,-19.56,-18.18
2020-12-06 22:42:03.3980,98.27,-18.16,-17.99
2020-12-06 22:42:03.4980,99.21,-16.03,-17.63
